commit	quality_score	status	dimension_scores	description
5e9bcee	8.372549	discard	s=44,c=42,a=40.7,e=42.7,n=39.3,d=40,t=43,g=42	add output format specs (actionability +1 but conciseness -2, not Pareto)
efe1862	8.294118	discard	s=44,c=41,a=40,e=43,n=38,d=40,t=43,g=42	shorten step 4 + format spec (conciseness -3, clarity -1)
b941439	8.380392	keep	s=44,c=41.7,a=40.3,e=43,n=40.3,d=41,t=43,g=42	replace redundant spike guideline with adaptive scope (adaptability 40→41 stable)
55348b6	8.286274	discard	s=44,c=41,a=40,e=42,n=40,d=40,t=43,g=41.7	replace trade-offs with artifact naming (clarity -1, example -1, no actionability gain)
1e0fbce	8.262745	discard	s=44,c=41,a=40,e=42.3,n=38.7,d=39.3,t=43,g=41.7	add tool names to example (clarity -1, conciseness -2.3, adaptability -2)
b50ce2c	8.305882	discard	s=44,c=41,a=40,e=42.7,n=38,d=40.3,t=43,g=42	replace trade-offs with checkpoint (conciseness -3)
9a48926	8.266667	discard	s=44,c=41.3,a=40,e=41.7,n=40,d=39,t=43,g=41.7	link protocol to verify command (adaptability -2, example -1.3)
ffc80f6	8.411765	keep	s=44,c=42,a=41,e=43,n=40,d=41,t=43,g=42	replace stages-small with risk isolation (actionability 40→41, conciseness 41→40, net +1.0w)
64b7b3b	8.345098	discard	s=44,c=41.3,a=40,e=43,n=40.7,d=40.3,t=43,g=42	remove 2 redundant guidelines (actionability -1, no conciseness gain)
b6c8b16	8.286274	discard	s=44,c=41,a=40,e=42,n=40,d=40,t=43,g=41.7	replace ground-decisions with design-for-deletion (clarity -1, example -1, actionability -1)
a5e61c8	8.262745	discard	s=44,c=41.7,a=40,e=41.3,n=38.7,d=39.3,t=43,g=41.7	replace flag-trade-offs with capability-per-stage (example -1.7, conciseness -1.3)
7e55b78	8.250980	discard	s=44,c=41.7,a=40,e=41.3,n=40.3,d=38,t=43,g=41.7	add external deps to large triage (adaptability -3!)
670900c	8.513725	keep	s=45,c=43,a=41,e=43.3,n=41.7,d=40.3,t=43.7,g=42.7	enrich validate with criteria-to-task mapping (s+1, c+1, n+1.7, t+0.7, g+0.7)
eb959cf	8.403922	discard	s=44.3,c=42,a=40.3,e=43,n=40.7,d=40.3,t=43.3,g=42.3	counterfactual triage in example (score regressed, conciseness hurt)
147da00	8.462745	discard	s=44.3,c=42.3,a=41,e=43.3,n=40,d=41.3,t=43.3,g=42.3	add risk-first to example stages (introduced variance, avg lower)
3005b0d	8.564706	keep	s=45,c=43,a=41,e=44,n=41.3,d=41.3,t=44,g=43	phase roadmap in description (stabilized all dims, avg +0.05)
2db4441	8.611765	keep	s=45,c=43,a=42,e=44,n=41,d=42,t=44,g=43	add output filename to example PRD (actionability +1, adaptability +1, conciseness -1)
54d65bd	8.564706	discard	s=45,c=43,a=41.7,e=44,n=40.7,d=40.7,t=44,g=43	tighten wordy passages (shorter hurt clarity, score -0.047)
31dc03d	8.513725	discard	s=44.7,c=42.7,a=41,e=43.7,n=40.7,d=41.3,t=43.7,g=42.7	add integration points to example (high variance, run1 crashed to 8.36)
